bare	accented	translations_en	translations_de
задачный	задачный		
дано	да'но	given, capable	zuteil werden, gegeben sein
перестановочный	перестановочный		
периодично	периодично		
пермчанин	пермчанин		
санктпетербуржец	санктпетербу'ржец		
петербурженка	петербурженка		
пропевать	пропевать		
распевание	распевание		
печатно	печа'тно		
припёка	припёка		
пигмейка	пигмейка		
пикинёр	пикинёр		
пикетированный	пикетированный		
пикетироваться	пикетироваться		
пикетный	пикетный		
вины	вины		
вини	ви'ни		
пилево	пилево		
пионербол	пионербол		
первопроходческий	первопроходческий		
буканьер	буканьер		
пирожочек	пирожочек		
пискучий	пискучий		
пискливо	пискливо		
пискляво	пискляво		quietschend
пищание	пищание		
подпитывать	подпи'тывать		
запитывание	запитывание		
пиявочка	пиявочка		
платинопромышленность	платинопромышленность		
плащёвка	плащёвка		
доплёвывать	доплёвывать		
переплёвывать	переплёвывать		
пленарка	пленарка		
пленарность	пленарность		
плесневелость	плесневелость		
плесневение	плесневение		
плясаться	плясаться		
шеф-повар	шеф-по'вар	chef, head-cook	Chefkoch, Küchenchef
высоковато	высокова'то		ziemlich hoch, recht hoch
возвышенно	возвышенно		
завышенно	завышенно		überhöht, überbewertet, überteuert
беспогонный	беспогонный		
подготовленный	подготовленный		
подготовочный	подготовочный		
готово	готово		bereit; fertig
приготовления	приготовле'ния		Siehe: приготовление
кованость	кованость		
гиппосандалия	гиппосандалия		
подкупленный	подкупленный		
подлая	по'длая		Siehe: подлый
подобность	подобность		
подобострастно	подобострастно		
падонак	падо'нак		
подражательно	подражательно		
зарядник	зарядник		
рядком	рядко'м		ganz in der Nähe, gleich hier / dort, unmittelbar daneben, (gleich) nebenan
нарядно	нарядно		
вагон-холодильник	вагон-холодильник	refrigerator van	
вагон-платформа	вагон-платформа		
вагон-ресторан	ваго'н-рестора'н		Speisewagen
позднее	поздне'е	later	später, danach
воззирать	воззирать		
взорить	взорить		
взорно	взорно		
зрительно	зри'тельно		sichtbar, optisch; für den Zuschauer bestimmt, für das Publikum bestimmt
умозрительно	умозри'тельно		spekulativ, abstrakt
пользительно	пользи'тельно		nützlich, nutzbringend, vorteilhaft; gesund, bekömmlich, gut
расплолзаться	расплолзаться		
расплолзтись	расплолзтись		
уложенность	уложенность		
полосчатый	полосчатый		
природопользователь	природопользователь		
водопользовательский	водопользовательский		
недропользовательский	недропользовательский		
природопользовательский	природопользовательский		
недоиспользоваться	недоиспользоваться		
пшечка	пшечка		
ляшка	ляшка		
успомнить	успомнить		
помощничек	помощничек		
вспоможествовать	вспоможествовать		
помпаж	помпаж		
понятийность	понятийность		
понятийно	понятийно		
поповство	поповство		
поповец	поповец		
беглопоповец	беглопоповец		
попугаиха	попугаиха		
попугайчиха	попугайчиха		
попугаица	попугаица		
попугайка	попугайка		
попугаишка	попугаишка		
попугаичий	попугаичий		
попугайский	попугайский		
попугайный	попугайный		
попугаевый	попугаевый		
попугайничество	попугайничество		
попугайствовать	попугайствовать		
порноактёр	порноактёр		
порноактриса	порноактриса		
порнографичный	порнографичный		
порнозвезда	порнозвезда		
порнофильм	порнофильм		
порты	порты		
портретность	портретность		
портретно	портретно		
подсадной	подсадной		
советник-посланник	советник-посланник		
непротиворечивость	непротиворечивость		
следящий	следящий		
последовавший	последовавший		
послушнический	послушнический		
послушничать	послушничать		
стройно	стройно		schlank, gut gebaut, harmonisch, geordnet, gut aufgebaut
требователь	требователь		
Джек-Потрошитель	Дже'к-Потроши'тель		
по-походному	по-похо'дному		wie bei einem Ausflug, wie bei einer Wanderung
низкопробно	низкопро'бно		minderwertig
практично	практи'чно		praktisch
постановщикзаставка	постановщикзаставка		
устоявший	устоявший		
представительно	представи'тельно		repräsentativ, eindrucksvoll, beeindruckend
предубедиться	предубедиться		
предубеждаться	предубеждаться		
предусмотрение	предусмотрение		
предшествовенник	предшествовенник		
опреснок	опреснок		
прецедентик	прецедентик		
прецедентность	прецедентность		
прибыльно	при'быльно		einträglich, gewinnbringend
привередничание	привередничание		
привередливо	привере'дливо		nörglerisch
козлогласие	козлогласие		
козлогласный	козлогласный		
четырёхголосный	четырёхголосный	four-part	
козлогласно	козлогласно		
полугласно	полугла'сно		unter dem Mantel der Verschwiegenheit, im Geheimen, hinter vorgehaltener Hand
приданное	приданное		siehe приданный
прикольчик	прикольчик		
непреложно	непреложно		
приманивание	приманивание		
применительный	применительный		
приобретеньице	приобретеньице		
припевание	припевание		
едино	едино		einheitlich; einzig, alleinig; einig, einmütig
пристрой	пристрой		
пробочница	пробочница		
проблемно	проблемно		
проблематично	проблемати'чно		problematisch, diffizil, fragwürdig, spekulativ, fraglich, zweifelhaft
программность	программность		
программно	програ'ммно		softwareseitig, auf ein Programm bezogen; programmatisch
прогрессор	прогрессор		
прогрессивно	прогресси'вно		
прогрссирующий	прогрссирующий		
кормораздаточный	кормораздаточный		
прокуроришко	прокуроришко		
прокурорище	прокурорище		
прокурорша	прокурорша		
проливка	проливка		
промазывание	промазывание		
промежностный	промежностный		
помеж	помеж		
помежду	помежду		
промышленница	промышленница		
проницательно	проницательно		
пропеллерчик	пропеллерчик		
позарывать	позарывать		---
позарываться	позарываться		
простецки	просте'цки		schlicht, von schlichter Denkungsart, dümmlich, naiv, einfach gestrickt
упрощённо	упрощённо		vereinfacht
простительно	прости'тельно		
протестующе	протесту'юще		protestierend
супротив	супроти'в		entgegen; gegenüber; gegen
противоположно	противополо'жно		gegenüberliegend, entgegengesetzt, gegensätzlich, gegenteilig
противоречиво	противоречи'во		widersprüchlich
непротиворечиво	непротиворечиво		
профанский	профанский		
профессорша	профессорша		
профессорствовать	профессорствовать		
проявляющийся	проявляющийся		
напрыгнуть	напрыгнуть		
пряжечка	пряжечка		
псковитянка	псковитянка		
птах	птах		
пузико	пузико		
пукнуть	пу'кнуть	fart	
пукало	пукало		
пунктовый	пунктовый		
пунктрирный	пунктрирный		
пунец	пунец		
запускаться	запуска'ться	start up	starten, anspringen (Motor); └ gestartet / angelassen / losgelassen ┘ werden; vernachlässigt werden
запущеный	запущеный		
пуховой	пуховой		
вспухание	вспухание		
опухание	опухание		
припухание	припухание		
пушистик	пушистик		
фуррь	фуррь		
напыление	напыление		
напылять	напылять		
пыточка	пыточка		
запытать	запытать		
пьянь	пьянь		
пядка	пядка		
пяденька	пяденька		
прорабатывание	прорабатывание		
разрабатывание	разрабатывание		
рабски	ра'бски		als Sklave, wie die Sklaven, sklavisch
квазиравновесие	квазиравновесие		
квазиравновесный	квазиравновесный		
неравновесный	неравновесный		
доуравновесить	доуравновесить		
доуравновеситься	доуравновеситься		
доуравновешивать	доуравновешивать		
доуравновешиваться	доуравновешиваться		
недоуравновесить	недоуравновесить		
недоуравновеситься	недоуравновеситься		
недоуравновешивать	недоуравновешивать		
недоуравновешиваться	недоуравновешиваться		
поуравновешивать	поуравновешивать		
поуравновешиваться	поуравновешиваться		
квазиравновесно	квазиравновесно		
неравновесно	неравновесно		
равновесно	равнове'сно		gleichgewichtig, ausgewogen
эгалитарность	эгалитарность		
РЛС	РЛС		
радирование	радирование		
радистский	ради'стский		
полудиаметр	полудиаметр		
ведом	ве'дом		Siehe: ведомый
ведаться	ведаться		
контрразведчица	контрразведчица		
разводимость	разводимость		
развитсья	развитсья		
развязанный	развязанный		
разговорец	разговорец		
разговорность	разговорность		
разговорённый	разговорённый		
сплетни	сплетни		
раздваивание	раздваивание		
разминочный	разминочный		
разнообрзаный	разнообрзаный		
разработанный	разработанный		
разрезывать	разрезывать		
разрушительница	разрушительница		
разрушительно	разрушительно		zerstörerisch, vernichtend, verderblich
разламывание	разламывание		
разваливание	разваливание		
разрывание	разрывание		
расок	расок		
раковинка	раковинка		
границы	границы		siehe граница
пределы	пределы		siehe предел
расология	расология		
европеоиды	европеоиды		
монголоиды	монголоиды		
распятый	распятый		
рассказаться	рассказаться		
рассмотр	рассмотр		
расстроенность	расстроенность		Fehlausrichtung, Fehlanpassung; Fehlabstimmung, Verstimmung
расстраивание	расстраивание		
дисбаланс	дисбала'нс		Ungleichgewicht
разлаживание	разлаживание		
рассчёт	рассчёт		
заросли	заросли		Gestrüpp, Dickicht
растяжной	растяжной		
расчёсочка	расчёсочка		
расчёс	расчёс		
расчёсанный	расчёсанный		
обсчитывание	обсчитывание		
расширительно	расширительно		
расщелинка	расщелинка		
расщеливание	расщеливание		
расщелить	расщелить		
расщелять	расщелять		
расщелиться	расщелиться		
расщеляться	расщеляться		
реакционноспособный	реакционноспособный		
реакционно	реакционно		
псевдореализм	псевдореализм		
реалистично	реалистично		
реалистически	реалисти'чески		realistisch
матч-реванш	матч-реванш		Rückspiel
ревностно	ревностно		
регламентатор	регламентатор		
регламентирование	регламентирование		
регламентированность	регламентированность		
регламентированный	регламентированный		
регламентироваться	регламентироваться		
редисочка	редисочка		
редисовый	редисовый		
режимность	режимность		
режимщик	режимщик		
режимить	режимить		
резидентка	резидентка		
надрезаться	надрезаться		
прирезаться	прирезаться		
урезаться	урезаться		
результировать	результировать		
результативно	результативно		
Рейнланд	Рейнланд		
рекламно	рекламно		
рекогносцирование	рекогносцирование		
рекогносцироваться	рекогносцироваться		
завкафедрой	завкафедрой		
репетиторша	репетиторша		
репетирование	репетирование		
репетичный	репетичный		
репортировать	репортировать		
репортёрство	репортёрство		
репортёрский	репортёрский		
подрессоренный	подрессоренный		
рессоренный	рессоренный		
решание	решание		
ржачка	ржачка		
рижанка	рижанка		
рикошетом	рикошетом		
рискованно	риско'ванно	risky	
отрисовывать	отрисовывать		
отрисовать	отрисовать		
отрисовка	отрисо'вка		
рисованый	рисованый		
отрисоваться	отрисоваться		
отрисовываться	отрисовываться		
роботизированый	роботизированый		
вырожденный	вырожденный		
народый	народый	Popular, folk.; national	
уродски	уро'дски		hässlich, scheußlich, widerwärtig, abstoßend, assig, abnormal
по-уродски	по-уро'дски		widerwärtig
по-родственному	по-ро'дственному		verwandtschaftlich
по-родительски	по-родительски		
принародно	принаро'дно		vor aller Augen, in aller Öffentlichkeit
родственники	ро'дственники		Siehe: родственник
электророзетка	электророзетка		
розовость	розовость		
бледно-красный	бледно-красный		
рок-музыка	рок-музыка		Rockmusik
ролевик	ролевик		
ролевой	ролево'й		
зарубочка	зарубочка		
мясорубочка	мясорубочка		
рубаночек	рубаночек		
рубильничек	рубильничек		
рубинчик	рубинчик		
рубиново	рубиново		
карбованець	карбованець		
адзін	адзін		
руинировать	руинировать		
безручка	безручка		
двуручка	двуру'чка		
зарукавье	зарука'вье		
наручни	на'ручни		
ручнист	ручни'ст		
худрук	худру'к		
короткорукий	короткору'кий		
приручённый	приручённый		
обезручить	обезру'чить		(jemanden) einer Hand / eines Arms / beider Hände / Arme berauben, (jemandem) eine Hand / einen Arm / beide Hände / Arme abschlagen
рулёжка	рулёжка		
по-румынски	по-румы'нски		rumänisch; in / auf Rumänisch
купалка	купалка		
мавка	мавка		
шутовка	шутовка		
рыбочка	рыбочка		
рыжесть	рыжесть		
рыжина	рыжина		
келюх	келюх		
лафитник	лафи'тник		
рюмаха	рюмаха		
шлюмка	шлюмка		
рязанец	рязанец		
рязанка	рязанка		
салфеточница	салфеточница		
самурайчик	самурайчик		
саркастично	саркастично		
сахалинка	сахалинка		
свеколка	свеколка		
секулярный	секулярный		
свинюшка	свинюшка		
свин	свин		
свинячество	свинячество		
свински	сви'нски		schweinisch, versaut
по-свински	по-сви'нски		schweinisch, wie die Schweine, niederträchtig, ungehörig, gemein, schlecht
навязчиво	навязчиво		aufdringlich, zudringlich, unablässig
ненавязчиво	ненавя'зчиво		unaufdringlich, dezent
священнослужительница	священнослужительница		
выгар	выгар		
выгорание	выгорание	burnout	Ausbrennen, Burnout; Ausbleichen
гар	гар		
дымогар	дымогар		
изгар	изгар		
изгара	изгара		
негарь	негарь		
недогар	недогар		
обгар	обгар		
отгар	отгар		
отгорание	отгорание		
погорелица	погорелица		
подгорание	подгорание		
пригарок	пригарок		
прогорание	прогорание		
разгорание	разгорание		
угарина	угарина		
угарыш	угарыш		
угорание	угорание		
сделочка	сделочка		
полдничный	полдничный		
каждодневно	каждодневно		
седловой	седловой		
совсекретный	совсекретный		
секретить	секретить		
секретиться	секретиться		
совсекретно	совсекретно		
секрецировать	секрецировать		
сексапильный	сексапи'льный		
семантически	семанти'чески		semantisch
по-сербски	по-се'рбски		serbisch, in / auf Serbisch
сорб	сорб		
сервачок	сервачок		
блейд-сервер	блейд-сервер		
сервак	серва'к		
бессеребреник	бессеребреник		
серебрянник	серебрянник		
сертифицировать	сертифици'ровать		
сетевуха	сетевуха		
сеулец	сеулец		
засекание	засекание		
иссекание	иссекание		
надсекание	надсекание		
рассекание	рассекание		
усекание	усекание		
символически	символи'чески		symbolisch
эмпатия	эмпатия		
симптомчик	симптомчик		
симтоматика	симтоматика		
симтоматично	симтоматично		
симферополец	симферополец		
симферопольский	симферопольский		
снтаксический	снтаксический		
синтетически	синтети'чески		synthetisch
диазокопия	диазокопия		
ситуационно	ситуацио'нно		situativ, situationsbedingt, situationsabhängig
сифонирование	сифонирование		
сифонировать	сифонировать		
сицилиец	сицилиец		
сицилиский	сицилиский		
скандально	сканда'льно		skandalös, anstößig, händelsüchtig
скатыватья	скатыватья		
скачком	скачком		siehe скачок
скачкообразно	скачкообра'зно		sprunghaft
недокачать	недокачать		
сквозняковый	сквозняковый		
скифство	скифство		
склонняемость	склонняемость		
поклонить	поклонить		
поклонять	поклонять		
скорпионий	скорпионий		
скромненько	скро'мненько		ganz bescheiden
высокоскулый	высокоскулый		
узкоскулый	узкоскулый		
скульптурка	скульптурка		
скульптурочка	скульптурочка		
скульптурища	скульптурища		
скульптурище	скульптурище		
скульптуральный	скульптуральный		
по-скульпторски	по-скульпторски		
скульптурально	скульптурально		
скульптурно	скульпту'рно		Bildhauer-, Skulpturen-, plastisch
сладострастно	сладостра'стно		wollüstig, sinnlich
непредвиденно	непредвиденно		unvorhergesehen
нерегулярно	нерегуля'рно		unregelmäßig
слышность	слышность		
посмертие	посмертие		
смешанно	сме'шанно		vermischt, gemischt
смоленец	смоленец		
умышленый	умышленый		
неумышленый	неумышленый		
мыслительно	мысли'тельно		geistig
неумышленно	неумы'шленно		unabsichtlich, nicht vorsätzlich
мыслимо	мы'слимо		vorstellbar, denkbar
Белоснежка	Белосне'жка		
заснежить	заснежи'ть		
снимочек	снимочек		
снобство	снобство		
снобский	снобский		
снобствовать	снобствовать		
снопишко	снопишко		
снопище	снопище		
снопина	снопина		
снопоклад	снопоклад		
сноповозка	сноповозка		
снопчатый	снопчатый		
сноповозный	сноповозный		
по-собачьи	по-соба'чьи		wie ein hunde, hundeartig
соболезнующий	соболезнующий		
соболезновательный	соболезновательный		
пособолезновать	пособолезновать		
соборно	соборно		
соборне	соборне		
собирательский	собирательский		
собранно	собранно		
собутыльница	собутыльница		
совмещённый	совмещённый		
совдеповец	совдеповец		
совхозник	совхозник		
совхозница	совхозница		
соглашательски	соглаша'тельски		versöhnlich, kompromisslerisch, liberal
консонантный	консона'нтный		
содержательно	содержательно		
созидательно	созидательно		
рацио	рацио		
соня-полчок	со'ня-полчо'к		
снотоврное	снотоврное		
снотоврный	снотоврный		
соотнестись	соотнестись		
соперничек	соперничек		
посоперничать	посоперничать		
ратолюбивый	ратолюбивый		
соревновательность	соревновательность		
сорнячок	сорнячок		
белобока	белобока		
сортовой	сортовой		
ссасываться	ссасываться		
ссосаться	ссосаться		
ссасывание	ссасывание		
взасос	взасос		
соседствующий	соседствующий		
составленный	составленный		
составляющий	составляющий		
ткачик	ткачик		
несотрудничество	несотрудничество		
сотрудничанье	сотрудничанье		
сотруженик	сотруженик		
сотруженица	сотруженица		
литсотрудник	литсотрудник		
коллаборация	коллаборация		
эон	эон		
Софья	Со'фья		
ссыхать	ссыхать		
ссохнуть	ссохнуть		
социологиня	социологиня		
социологичка	социологичка		
макросоциология	макросоциология		
микросоциология	микросоциология		
экосоциология	экосоциология		
этносоциология	этносоциология		
социологически	социологи'чески		soziologisch
социологично	социологично		
сочетаньице	сочетаньице		
сочетатель	сочетатель		
сочетательница	сочетательница		
спектрофотометр	спектрофотометр		
спектрополяриметрия	спектрополяриметрия		
спектрографический	спектрографический		
спектрополяриметрический	спектрополяриметрический		
спектрально	спектрально		
украденный	украденный		gestohlen
узкофункциональный	узкофункциональный		
опешивать	опешивать		
списочный	списочный		
списком	списком		
сплавление	сплавление		
сплавленный	сплавленный		
сплавливать	сплавливать		
сплавливаться	сплавливаться		
сплавщица	сплавщица		
сплавконтора	сплавконтора		
плавающий	плавающий		
сплетнический	сплетнический		
спонсорство	спонсорство		
спонсорша	спонсорша		
спонсорский	спо'нсорский		Sponsoren-, gesponsert
спонсируемый	спонсируемый		
спонсировать	спонсировать		
спонсироваться	спонсироваться		
спортивно	спортивно		sportlich
неспортивно	неспортивно		
спрашивание	спрашивание		
ссорщик	ссорщик		
ссорщица	ссорщица		
ссорный	ссорный		
ставрополец	ставрополец		
ставрополька	ставрополька		
сталкерский	сталкерский		
сталкерство	сталкерство		
сталкерша	сталкерша		
стандартно	стандартно		
состаривать	состаривать		
состариваться	состариваться		
старо	старо'		alt
по-старушечьи	по-старушечьи		
по-стариковски	по-старико'вски		wie ein alter Mann, greisenhaft
старинство	старинство		
статистически	статисти'чески		statistisch
створчатость	створчатость		
стекание	стека'ние		
стетоскопный	стетоскопный		
стишочек	стишочек		
стихерный	стихерный		
стихирный	стихирный		
стихословие	стихословие		
стих-гимн	стих-гимн		
стих-песня	стих-песня		
стих-призыв	стих-призыв		
стих-псалом	стих-псалом		
стих-раздумье	стих-раздумье		
стоимостной	сто'имостной		Siehe: стоимостный
кровосток	кровосток		
сторожко	сторо'жко		vorsichtig, ängstlich
странновато	странновато		
страусиный	страусиный		
страшилка	страши'лка		
отстрелиться	отстрелиться		
расстреять	расстреять		
стремленьице	стремленьице		
устремлённо	устремлённо		
стрессовость	стрессовость		
стрессово	стрессово		
строганый	стро'ганый		
недострой	недостро'й		
строковой	строковой		
стихостворение	стихостворение		
структурировать	структури'ровать		
структурированный	структурированный		
струища	струища		
заструить	заструить		
отпескоструить	отпескоструить		
стукаческий	стукаческий		
отстучаться	отстучаться		
ступенчато	ступе'нчато		
стунуться	стунуться		
суеслов	суеслов		
суетно	суетно		
суммарно	суммарно		
сутевой	сутевой		
сучёныш	сучёныш		
метасхема	метасхема		
схематично	схематично		
схематически	схемати'чески		schematisch
считывание	считывание		
съезжание	съезжание		
сыренький	сыренький		
отсыревший	отсыре'вший		Siehe: отсыреть (Partizip Präteritum Aktiv)
сюжетосложение	сюжетосложение		
сюжетообразующий	сюжетообразующий		
сюжетно	сюжетно		
табуреточный	табуреточный		
табуретовка	табуретовка		
по-таджикски	по-таджи'кски		tadshikisch, in / auf Tadshikisch
тайванька	тайванька		
таймырец	таймырец		
таймырский	таймырский		
тамбовец	тамбовец		
пританцовывание	пританцовывание		
танчик	танчик		
танцевание	танцевание		
тапок	тапок		
Татария	Татария		Tatarien
татарстанский	татарстанский		
по-татарски	по-тата'рски		tartarisch, auf Tartarisch
тащение	тащение		
устойчиво	усто'йчиво		standfest, beständig, stabil, fest, standhaft
неколебимо	неколебимо		
непреклонно	непреклонно		
тверяк	тверяк		
тверитянин	тверитя'нин		
тверич	тверич		
творожок	творожок		
сотворённый	сотворённый		
тезаврация	тезаврация		
тезаурусный	тезаурусный		
подтекпритекать	подтекпритекать		
протёк	протёк		
кровоподтёчный	кровоподтёчный		
самотёчный	самотёчный		
быстротечно	быстротечно		
телик	те'лик		Glotze, Fernseher
телезрительница	телезрительница		
телефонирование	телефонирование		
темнеющий	темнеющий		
термометрирование	термометрирование		
дотёсывать	дотёсывать		
дотесать	дотесать		
отёсывать	отёсывать		
оттёсывать	оттёсывать		
перетёсывать	перетёсывать		
растёсывать	растёсывать		
ратесать	ратесать		
втекание	втекание		
истекание	истекание		
переток	переток		
тикнуть	тикнуть		
нетипизированный	нетипизированный		
титанид	титанид		
титровальный	титровальный		
по-товарищески	по-това'рищески		kameradschaftlich, freundschaftlich
токиец	токи'ец		
токийский	токи'йский		
толерастия	толерастия		
тонально	тона'льно		tonal / ton-
топильный	топильный		
утопленнник	утопленнник		
тополёк	тополёк		
топ-топ	топ-топ		
топотун	топотун		
Топтыгин	Топтыгин	Bruin	
тороидальный	тороида'льный		
торчание	торчание		
тоталитарно	тоталитарно		
точь	точь		
точнёхонько	точнёхонько		supergenau, ganz exakt
трахеола	трахеола		
тренерша	тренерша	female trainer, female coach	Trainerin
трещание	трещание		
трёхгодичный	трёхгодичный	three-year, triennial	dreijährig, von drei Jahren
трёхдневный	трёхдневный	three-day, of three days	dreitägig
трёхколёсный	трёхколёсный	three-wheeled	
трёхцветный	трёхцветный	three-coloured, of three colours, tricolour, trichromatic	dreifarbig
тройца	тройца		
трёхмиллионный	трёхмиллионный		
стращивать	стращивать		
трубачик	трубачик		
работающий	рабо'тающий		arbeitend
струсивший	струсивший		
перетрусивший	перетрусивший		
тряпочник	тряпочник		
тряпьёвый	тряпьёвый		
встрясать	встрясать		
туманной	туманной		
тупизна	тупизна'		
турбинист	турбинист		
тусовочный	тусовочный		
тутовница	тутовница		
туфельный	туфельный		
тыкание	тыкание		
натыльник	наты'льник		
обзатыливать	обзаты'ливать		
отылить	оты'лить		
истылу	исты'лу		
стылу	сты'лу		
тюленуха	тюленуха		
тюлень-крабоед	тюлень-крабоед		
тюремник	тюремник		
трудоёмко	трудоёмко		
бегание	бегание		
отбегаться	отбегаться		
бечь	бечь		
бегивать	бегивать		
выбегивать	выбегивать		
набегивать	набегивать		
побегивать	побегивать		
убивание	убивание		
убивающий	убивающий		
убощица	убощица		
потери	потери		
уводка	уводка		
угодливо	угодливо		schmeichlerisch
угонщица	угонщица		
угорёк	угорёк		
угрёвый	угрёвый		
угрик	угрик		
угревой	угревой		
угристый	угристый		
угрюмоватый	угрюмоватый		
угрюмовато	угрюмовато		
ударно	ударно		schlagkräftig, hart
удачливо	удачливо		
удобритель	удобритель		
недоброкачественый	недоброкачественый		
недобропорядочный	недобропорядочный		
удобренный	удобренный		
сдобровать	сдобровать		
посдобрить	посдобрить		
поудобрять	поудобрять		
удостверять	удостверять		
узбекистанский	узбекистанский		
по-узбекски	по-узбе'кски		usbekisch, └ in / auf ┘ Usbekisch
узельный	узельный		
узористость	узористость		
узорник	узорник		
узорница	узорница		
узорочность	узорочность		
узорщик	узорщик		
узорщица	узорщица		
узористый	узористый		
узорить	узорить		
узориться	узориться		
разузорить	разузорить		
разузориться	разузориться		
узорничать	узорничать		
узористо	узористо		
узорно	узорно		
узорчато	узорчато		
по-украински	по-украи'нски		ukrainisch, └ in / auf ┘ Ukrainisch
малорос	малорос		
домножить	домножить		
домножиться	домножиться		
домножать	домножать		
домножаться	домножаться		
умопомрачительно	умопомрачительно		
обалденный	обалденный	amazing	hervorragend, großartig
наследствие	наследствие		
унитазный	унитазный		
уничтожительный	уничтожительный		
уплотнённый	уплотнённый		
упёртый	упёртый	stubborn	
упорядочивание	упорядочивание		
домоуправитель	домоуправитель		
уранистый	уранистый		
регулирующий	регулирующий		
регуляторский	регуляторский		
разрегулировать	разрегулировать		
урезывание	урезывание		
уркаган	уркаган		
усердство	усердство		
усердствование	усердствование		
словарность	словарность		
пословно	посло'вно		wortweise, pro Wort
споконый	споконый		
участнический	уча'стнический		
ученически	учени'чески		schülerhaft
по-учёному	по-учёному		wissenschaftlich
шум-фактор	шум-фактор		
бихорка	бихорка		
бихорха	бихорха		
сольпуга	сольпуга		
сольфуга	сольфуга		
фанатичность	фанатичность	fanaticism	
фанатка	фанатка		
фанатский	фанатский		
фанатичка	фанатичка		
фанатически	фанати'чески		fanatisch
фанатично	фанатично		
феерия	феерия	play, ballet, based on a fairytale	
фантомный	фантомный		
фарисейка	фарисейка		
фартовый	фарто'вый	lucky, fine, smashing	
фартить	фартить		
фартуха	фартуха		
фартень	фартень		
фартушник	фартушник		
фарцовщица	фарцовщица	black-marketeer, spiv	
фарцевать	фарцевать		
фаршировать	фаршировать	stuff	füllen
фасадный	фасадный		
фашизация	фашизация		
фашизированный	фашизированный		
фашиствующий	фашиствующий		
фашиствовать	фашиствовать		
фашизировать	фашизировать		
феминист	феминист	feminist	
феминистский	феминистский	feministic	
ферментик	ферментик		
ферментация	ферментация	fermentation	
ферментный	ферментный		
ферментировать	ферментировать	ferment	
энзим	энзим		
фиговина	фиговина		
фигово	фигово	sucks	
физичка	физичка		
фиксаж	фикса'ж	fixing solution, fixer	
фиксатор	фиксатор	pawl, stop, latch, holder	
фиксатуар	фиксатуар	fixative, hair-grease	
фиксатив	фиксатив	fixative	
фиксационный	фиксационный		
филантропический	филантропи'ческий	philanthropic	
филантропия	филантропия	philanthropy	
филиальный	филиальный		
фильтрат	фильтрат	filtrate	
фильтрол	фильтрол		
фильтровальный	фильтровальный	filter	
фильтрационный	фильтрационный		
фильтровочный	фильтровочный		
отфильтровальный	отфильтровальный		
фингальчик	фингальчик		
фингалище	фингалище		
фингальный	фингальный		
зафингалить	зафингалить		
бланш	бланш		
финишный	фи'нишный	finishing	Ziel-
финляндец	финляндец		
финляндка	финляндка		
по-фински	по-фи'нски		finnisch, auf finnisch
фирмач	фирмач		
фича	фича		
флагманский	флагманский		
флегматик	флегматик	phlegmatic person	Phlegmatiker
флейтистка	флейтистка	flutist	
флейтовый	флейтовый		
флоридец	флоридец		
расфокусированный	расфокусированный		
фокально	фокально		
джеджи	джеджи		
